variable,type,id,coefficient
age,0,AGE,-0.023594253
race,1,1b.RACE,0
race,1,2.RACE,0.762600371
race,1,3.RACE,0.600460279
race,1,6.RACE,-0.437665041
gender,1,0b.FEMALE,0
gender,1,1.FEMALE,0.116634183
inc,1,1b.ZIPINC_QRTL,0
inc,1,2.ZIPINC_QRTL,-0.739150498
inc,1,3.ZIPINC_QRTL,0.310556883
inc,1,4.ZIPINC_QRTL,-0.613364828
