_t,s0
2,0.002348366
4,3.89E-07
3,0.00035289
3,0.00035289
2,0.002348366
4,3.89E-07
2,0.002348366
11,4.15E-15
2,0.002348366
2,0.002348366
13,8.39E-24
2,0.002348366
4,3.89E-07
8,2.12E-11
4,3.89E-07
15,3.05E-35
12,4.26E-18
4,3.89E-07
5,6.06E-09
2,0.002348366
9,4.80E-13
5,6.06E-09
18,1.27E-59
2,0.002348366
2,0.002348366
26,0
8,2.12E-11
1,0.641598611
