_d,_t,s0
1,4,.1521792369487337
1,2,.4988219152831803
1,4,.1521792369487337
1,4,.1521792369487337
1,3,.268215561403938
1,1,.8196451961994171
1,3,.268215561403938
1,2,.4988219152831803
1,1,.8196451961994171
1,1,.8196451961994171
1,7,.0432625230173101
1,2,.4988219152831803
1,3,.268215561403938
1,2,.4988219152831803
1,4,.1521792369487337
1,3,.268215561403938
1,3,.268215561403938
1,4,.1521792369487337
1,5,.0996086407801849
1,2,.4988219152831803
1,2,.4988219152831803
1,1,.8196451961994171
1,1,.8196451961994171
1,4,.1521792369487337
1,6,.0669785359797029
1,2,.4988219152831803
1,1,.8196451961994171
1,3,.268215561403938
1,2,.4988219152831803
1,3,.268215561403938
1,5,.0996086407801849
1,2,.4988219152831803
1,9,.023919308976979
1,4,.1521792369487337
1,6,.0669785359797029
1,4,.1521792369487337
1,3,.268215561403938
1,2,.4988219152831803
1,1,.8196451961994171
1,2,.4988219152831803
1,3,.268215561403938
1,7,.0432625230173101
1,3,.268215561403938
1,1,.8196451961994171
1,5,.0996086407801849
1,17,.0033258086505416
1,2,.4988219152831803
1,2,.4988219152831803
1,3,.268215561403938
1,2,.4988219152831803
1,2,.4988219152831803
1,2,.4988219152831803
1,14,.0065422455571884
1,3,.268215561403938
1,3,.268215561403938
1,4,.1521792369487337
1,4,.1521792369487337
1,1,.8196451961994171
1,2,.4988219152831803
1,3,.268215561403938
1,3,.268215561403938
1,4,.1521792369487337
1,3,.268215561403938
1,2,.4988219152831803
1,2,.4988219152831803
1,4,.1521792369487337
1,3,.268215561403938
1,2,.4988219152831803
1,6,.0669785359797029
1,2,.4988219152831803
1,3,.268215561403938
1,2,.4988219152831803
1,5,.0996086407801849
1,1,.8196451961994171
1,2,.4988219152831803
1,2,.4988219152831803
1,3,.268215561403938
1,9,.023919308976979
1,2,.4988219152831803
1,2,.4988219152831803
1,5,.0996086407801849
1,9,.023919308976979
1,1,.8196451961994171
1,3,.268215561403938
1,2,.4988219152831803
1,10,.020407640492143
1,2,.4988219152831803
1,7,.0432625230173101
1,3,.268215561403938
1,3,.268215561403938
1,2,.4988219152831803
1,3,.268215561403938
1,2,.4988219152831803
1,2,.4988219152831803
1,1,.8196451961994171
1,7,.0432625230173101
1,4,.1521792369487337
1,4,.1521792369487337
1,13,.0094700510882676
1,3,.268215561403938
1,4,.1521792369487337
1,5,.0996086407801849
1,2,.4988219152831803
1,1,.8196451961994171
1,2,.4988219152831803
1,1,.8196451961994171
1,4,.1521792369487337
1,5,.0996086407801849
1,15,.0048309043599741
1,2,.4988219152831803
1,3,.268215561403938
1,2,.4988219152831803
1,4,.1521792369487337
1,4,.1521792369487337
1,5,.0996086407801849
1,4,.1521792369487337
1,7,.0432625230173101
1,3,.268215561403938
1,4,.1521792369487337
1,4,.1521792369487337
1,2,.4988219152831803
1,2,.4988219152831803
1,3,.268215561403938
1,3,.268215561403938
1,3,.268215561403938
1,2,.4988219152831803
1,3,.268215561403938
1,7,.0432625230173101
1,2,.4988219152831803
1,7,.0432625230173101
1,4,.1521792369487337
1,8,.0307021846459104
1,3,.268215561403938
1,6,.0669785359797029
1,3,.268215561403938
1,1,.8196451961994171
1,3,.268215561403938
1,30,0
1,2,.4988219152831803
1,15,.0048309043599741
1,1,.8196451961994171
1,3,.268215561403938
1,2,.4988219152831803
1,4,.1521792369487337
1,1,.8196451961994171
1,4,.1521792369487337
1,2,.4988219152831803
1,8,.0307021846459104
1,3,.268215561403938
1,5,.0996086407801849
1,5,.0996086407801849
1,4,.1521792369487337
1,2,.4988219152831803
1,1,.8196451961994171
1,5,.0996086407801849
1,3,.268215561403938
1,21,.0020614809397025
1,4,.1521792369487337
1,3,.268215561403938
1,1,.8196451961994171
1,2,.4988219152831803
1,6,.0669785359797029
1,8,.0307021846459104
1,3,.268215561403938
1,2,.4988219152831803
1,6,.0669785359797029
1,6,.0669785359797029
1,4,.1521792369487337
