variable,type,id,coefficient
age,0,AGE,-0.037224134
race,1,1b.RACE,0
race,1,2.RACE,-0.193003534
race,1,3.RACE,0.02688682
gender,1,0b.FEMALE,0
gender,1,1.FEMALE,-0.414759189
inc,1,1b.ZIPINC_QRTL,0
inc,1,2.ZIPINC_QRTL,0.354070027
inc,1,3.ZIPINC_QRTL,0.034894369
inc,1,4.ZIPINC_QRTL,-1.07629741
